index,person_age,person_income,person_home_ownership,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status
77,26,47000,RENT,HOMEIMPROVEMENT,D,25000,15.28,YES
78,23,47000,RENT,VENTURE,E,25000,17.93,YES
79,21,13200,OWN,VENTURE,C,4500,12.98,YES
80,26,48000,RENT,VENTURE,F,25000,18.43,YES
81,23,55000,RENT,EDUCATION,B,25000,11.36,YES
82,23,55000,RENT,EDUCATION,D,25000,15.65,YES
83,24,55164,RENT,PERSONAL,C,25000,13.22,YES
84,26,56000,RENT,DEBTCONSOLIDATION,C,25000,12.87,YES
85,23,190000,MORTGAGE,EDUCATION,F,22000,17.58,YES
86,23,13920,OWN,PERSONAL,E,7750,17.04,YES
87,24,60000,RENT,PERSONAL,B,25000,10.99,YES
88,24,60000,RENT,PERSONAL,B,25000,11.11,YES
89,26,54000,RENT,DEBTCONSOLIDATION,D,25000,14.83,YES
90,25,54000,RENT,HOMEIMPROVEMENT,E,25000,16.82,YES
91,23,60000,RENT,PERSONAL,C,25000,12.73,YES
92,23,60000,RENT,PERSONAL,B,25000,10.25,YES
93,21,60000,RENT,EDUCATION,B,25000,10.99,YES
94,25,61959,RENT,MEDICAL,C,25000,12.73,YES
95,22,56400,RENT,HOMEIMPROVEMENT,D,25000,14.96,YES
96,24,66000,RENT,EDUCATION,B,25000,9.91,YES
97,22,66000,RENT,EDUCATION,C,25000,13.06,YES
98,26,66996,RENT,PERSONAL,D,25000,15.21,YES
99,23,67000,RENT,EDUCATION,A,25000,7.9,YES
100,24,67000,RENT,VENTURE,B,25000,10.99,YES
101,24,68000,RENT,PERSONAL,D,25000,14.09,YES
102,25,69000,RENT,PERSONAL,D,25000,17.49,YES
103,26,188000,MORTGAGE,VENTURE,E,20000,17.74,YES
104,25,69996,RENT,EDUCATION,D,25000,15.21,YES
105,22,14400,OWN,MEDICAL,B,4000,10.99,YES
106,24,70000,RENT,EDUCATION,B,25000,11.86,YES
107,24,14400,OWN,PERSONAL,A,6000,7.49,YES
108,24,56100,RENT,MEDICAL,D,25000,16.49,YES
109,25,66000,RENT,VENTURE,D,25000,15.33,YES
110,26,66000,RENT,HOMEIMPROVEMENT,B,25000,11.58,YES
111,25,14400,OWN,EDUCATION,A,5375,5.79,YES
112,25,72612,RENT,MEDICAL,C,25000,13.11,YES
113,23,74000,RENT,MEDICAL,B,25000,10.36,YES
114,25,75000,RENT,DEBTCONSOLIDATION,B,25000,10.36,YES
115,24,75000,RENT,EDUCATION,B,25000,10.25,YES
116,22,71000,RENT,EDUCATION,D,25000,15.95,YES
117,23,78000,RENT,VENTURE,B,25000,10.62,YES
118,23,78504,RENT,VENTURE,B,25000,10.74,YES
119,24,62050,RENT,MEDICAL,D,25000,15.33,YES
120,23,79416,RENT,VENTURE,D,25000,15.21,YES
121,21,14400,OWN,VENTURE,C,6250,14.72,YES
122,24,79631,RENT,PERSONAL,D,25000,15.7,YES
123,24,79632,RENT,EDUCATION,C,25000,13.35,YES
124,24,80000,RENT,EDUCATION,A,25000,6.62,YES
125,26,80000,RENT,DEBTCONSOLIDATION,C,25000,13.61,YES
126,24,172000,MORTGAGE,DEBTCONSOLIDATION,C,20000,13.47,YES
127,23,74004,RENT,DEBTCONSOLIDATION,E,25000,16.35,YES
128,25,81000,RENT,DEBTCONSOLIDATION,A,25000,7.29,YES
129,23,81600,RENT,MEDICAL,B,25000,11.36,YES
130,23,14400,OWN,HOMEIMPROVEMENT,E,4000,16.7,YES
131,25,142800,MORTGAGE,MEDICAL,F,10000,18.25,YES
132,24,75000,RENT,VENTURE,E,25000,14.7,YES
133,23,76000,RENT,DEBTCONSOLIDATION,D,25000,16.02,YES
134,23,66215,RENT,MEDICAL,D,25000,15.37,YES
135,21,15000,OWN,HOMEIMPROVEMENT,A,6200,7.9,YES
136,23,78000,RENT,VENTURE,D,25000,16.32,YES
137,25,66300,RENT,MEDICAL,E,25000,17.93,YES
138,24,79000,RENT,DEBTCONSOLIDATION,D,25000,14.96,YES
139,23,70550,RENT,MEDICAL,F,25000,19.04,YES
140,25,83800,RENT,DEBTCONSOLIDATION,D,25000,15.95,YES
141,23,15000,OWN,DEBTCONSOLIDATION,C,4000,13.98,YES
142,23,15000,OWN,VENTURE,B,4600,10.99,YES
143,22,88000,RENT,DEBTCONSOLIDATION,D,25000,15.58,YES
144,25,74800,RENT,MEDICAL,B,25000,10.99,YES
145,25,88000,RENT,VENTURE,D,25000,14.96,YES
146,26,88000,RENT,VENTURE,D,25000,15.65,YES
147,23,15000,MORTGAGE,PERSONAL,C,3600,13.47,YES
148,24,92000,RENT,HOMEIMPROVEMENT,E,25000,16.77,YES
149,23,93000,RENT,DEBTCONSOLIDATION,D,25000,14.59,YES
150,25,162000,MORTGAGE,DEBTCONSOLIDATION,E,25000,16.0,YES
151,21,15000,OWN,HOMEIMPROVEMENT,C,3175,11.54,YES
152,25,96000,RENT,HOMEIMPROVEMENT,E,25000,15.68,YES
153,24,97908,RENT,HOMEIMPROVEMENT,D,25000,12.61,YES
154,23,15204,MORTGAGE,PERSONAL,A,2800,8.49,YES
155,25,159600,RENT,PERSONAL,D,30000,17.27,YES
156,24,158004,RENT,HOMEIMPROVEMENT,D,25000,14.59,YES
157,22,15360,OWN,HOMEIMPROVEMENT,B,2500,12.53,YES
158,25,134300,RENT,MEDICAL,D,5000,16.49,YES
159,22,100580,RENT,DEBTCONSOLIDATION,D,25000,14.96,YES
160,24,91800,RENT,MEDICAL,D,25000,15.33,YES
161,26,108000,RENT,PERSONAL,D,25000,15.05,YES
162,24,15600,OWN,HOMEIMPROVEMENT,A,3300,6.39,YES
163,25,15600,OWN,VENTURE,F,3200,18.09,YES
164,22,153000,MORTGAGE,DEBTCONSOLIDATION,D,24000,15.62,YES
165,23,16000,OWN,MEDICAL,A,6000,7.9,YES
166,23,148000,RENT,DEBTCONSOLIDATION,E,25000,14.93,YES
167,23,16000,MORTGAGE,MEDICAL,C,5600,12.84,YES
168,24,16020,OWN,VENTURE,E,3625,17.14,YES
169,22,16094,MORTGAGE,VENTURE,A,5500,7.14,YES
170,25,16400,OWN,PERSONAL,A,5000,8.94,YES
171,23,16500,OWN,VENTURE,B,4375,9.63,YES
172,25,49500,RENT,PERSONAL,C,24750,14.22,YES
173,23,60000,RENT,DEBTCONSOLIDATION,B,24750,9.33,YES
174,25,125800,MORTGAGE,MEDICAL,D,10000,14.09,YES
175,25,54000,RENT,PERSONAL,C,24250,13.98,YES
176,23,62500,RENT,EDUCATION,B,24250,10.62,YES
177,25,68400,RENT,PERSONAL,E,24250,17.56,YES
178,26,56045,RENT,MEDICAL,D,24250,14.96,YES
179,22,74000,RENT,DEBTCONSOLIDATION,D,24250,15.65,YES
180,24,65453,RENT,MEDICAL,D,24250,15.7,YES
181,26,78000,RENT,HOMEIMPROVEMENT,E,24250,17.56,YES
182,22,16800,MORTGAGE,HOMEIMPROVEMENT,C,4750,13.85,YES
183,21,16800,MORTGAGE,VENTURE,B,6000,10.39,YES
184,22,108000,RENT,HOMEIMPROVEMENT,D,24150,14.96,YES
185,22,43000,RENT,DEBTCONSOLIDATION,C,24000,13.85,YES
186,23,47004,RENT,VENTURE,B,24000,11.58,YES
187,24,48000,RENT,VENTURE,D,24000,16.29,YES
188,21,44964,RENT,EDUCATION,D,24000,16.29,YES
189,24,47000,RENT,PERSONAL,F,24000,17.8,YES
190,22,49000,RENT,MEDICAL,E,24000,17.56,YES
191,26,60000,RENT,PERSONAL,A,24000,7.9,YES
192,25,60000,RENT,PERSONAL,B,24000,10.99,YES
193,22,60000,RENT,PERSONAL,A,24000,7.29,YES
194,21,60000,RENT,MEDICAL,B,24000,10.75,YES
195,26,62004,RENT,DEBTCONSOLIDATION,A,24000,7.9,YES
196,22,62400,RENT,EDUCATION,D,24000,14.84,YES
197,23,59000,RENT,DEBTCONSOLIDATION,E,24000,19.69,YES
198,24,60000,RENT,VENTURE,D,24000,14.96,YES
199,25,66143,RENT,EDUCATION,A,24000,6.99,YES
200,22,62250,RENT,PERSONAL,E,24000,16.45,YES
201,24,70000,RENT,EDUCATION,B,24000,10.99,YES
202,23,74000,RENT,DEBTCONSOLIDATION,B,24000,10.99,YES
203,22,18000,OWN,PERSONAL,A,3000,7.9,YES
204,22,75000,RENT,EDUCATION,B,24000,12.69,YES
205,24,75000,RENT,MEDICAL,B,24000,10.37,YES
206,26,69000,RENT,DEBTCONSOLIDATION,F,24000,15.83,YES
207,23,78000,RENT,PERSONAL,C,24000,13.92,YES
208,22,18000,OWN,HOMEIMPROVEMENT,A,3500,7.49,YES
209,23,18000,OWN,EDUCATION,A,4000,5.99,YES
210,23,74700,RENT,PERSONAL,D,24000,12.92,YES
211,22,83000,RENT,DEBTCONSOLIDATION,E,24000,19.69,YES
212,21,18000,OWN,HOMEIMPROVEMENT,D,4900,14.54,YES
213,24,18000,OWN,HOMEIMPROVEMENT,A,6250,6.54,YES
214,26,103872,RENT,DEBTCONSOLIDATION,G,24000,20.03,YES
215,26,108000,RENT,EDUCATION,G,24000,20.16,YES
216,23,18000,MORTGAGE,MEDICAL,D,2500,15.95,YES
217,23,114750,RENT,MEDICAL,G,24000,20.03,YES
218,23,138000,RENT,DEBTCONSOLIDATION,D,24000,16.0,YES
219,24,18000,OWN,PERSONAL,A,13000,7.88,YES
220,21,18000,OWN,VENTURE,B,6250,10.62,YES
221,26,148000,RENT,EDUCATION,F,24000,18.3,YES
222,24,54996,RENT,PERSONAL,B,23600,11.89,YES
223,24,18000,MORTGAGE,DEBTCONSOLIDATION,B,10000,12.18,YES
224,23,75000,RENT,PERSONAL,E,23575,14.5,YES
225,22,18000,OWN,MEDICAL,D,5400,15.31,YES
226,22,66960,RENT,VENTURE,A,23400,7.49,YES
227,23,60000,RENT,VENTURE,B,23000,12.18,YES
228,25,63208,RENT,EDUCATION,B,23000,9.91,YES
229,24,65000,RENT,HOMEIMPROVEMENT,B,23000,11.99,YES
230,23,68000,RENT,EDUCATION,B,23000,9.62,YES
231,22,18000,OWN,DEBTCONSOLIDATION,B,3000,9.96,YES
232,24,88000,RENT,VENTURE,D,23000,14.54,YES
233,22,58600,RENT,MEDICAL,B,22750,11.36,YES
234,23,70000,RENT,DEBTCONSOLIDATION,C,22500,14.27,YES
235,24,18287,OWN,HOMEIMPROVEMENT,B,3000,11.99,YES
236,26,69846,RENT,EDUCATION,F,22500,18.99,YES
237,24,73000,RENT,VENTURE,E,22400,16.7,YES
238,24,18500,MORTGAGE,PERSONAL,A,5000,9.32,YES
239,23,35000,RENT,DEBTCONSOLIDATION,B,22250,12.69,YES
240,25,43000,RENT,HOMEIMPROVEMENT,C,22000,13.11,YES
241,25,52000,RENT,PERSONAL,B,22000,10.74,YES
242,21,18701,MORTGAGE,PERSONAL,D,4200,14.11,YES
243,22,57000,RENT,EDUCATION,B,22000,9.63,YES
244,25,58000,RENT,MEDICAL,C,22000,14.65,YES
245,23,60000,RENT,DEBTCONSOLIDATION,B,22000,10.25,YES
246,24,60000,RENT,VENTURE,C,22000,14.26,YES
247,25,18840,MORTGAGE,EDUCATION,B,3000,9.91,YES
248,26,56000,RENT,MEDICAL,E,22000,17.19,YES
249,22,70000,RENT,EDUCATION,B,22000,11.36,YES
250,22,19000,OWN,MEDICAL,A,3625,8.49,YES
251,21,19000,OWN,MEDICAL,A,6000,8.49,YES
252,24,19000,OWN,MEDICAL,C,7400,13.85,YES
253,25,19000,OWN,DEBTCONSOLIDATION,A,4000,7.4,YES
254,25,77650,RENT,PERSONAL,B,22000,11.48,YES
255,25,82000,RENT,EDUCATION,E,22000,17.51,YES
256,21,19012,MORTGAGE,DEBTCONSOLIDATION,D,3500,14.61,YES
257,22,19200,MORTGAGE,PERSONAL,B,4950,11.71,YES
258,25,57000,RENT,PERSONAL,B,21700,11.99,YES
259,24,54000,RENT,VENTURE,C,21600,13.49,YES
260,23,56000,RENT,MEDICAL,G,21600,21.21,YES
261,26,63000,RENT,DEBTCONSOLIDATION,C,21600,14.35,YES
262,22,78000,RENT,DEBTCONSOLIDATION,B,21600,11.26,YES
263,25,19200,OWN,EDUCATION,B,3000,11.99,YES
264,24,59000,RENT,MEDICAL,D,21500,16.89,YES
265,24,70000,RENT,HOMEIMPROVEMENT,B,21500,9.99,YES
266,25,60000,RENT,EDUCATION,A,21450,7.29,YES
267,22,31000,RENT,DEBTCONSOLIDATION,B,21250,12.42,YES
268,25,47052,RENT,VENTURE,B,21250,10.99,YES
269,25,51060,RENT,VENTURE,A,21250,6.91,YES
270,22,19200,MORTGAGE,DEBTCONSOLIDATION,C,5000,14.17,YES
271,22,53000,RENT,MEDICAL,B,21250,10.25,YES
272,24,56000,RENT,VENTURE,D,21250,15.95,YES
273,24,65000,RENT,EDUCATION,D,21250,15.95,YES
274,21,35000,RENT,VENTURE,B,21000,12.53,YES
275,22,19200,MORTGAGE,HOMEIMPROVEMENT,D,1400,14.91,YES
276,26,40000,RENT,MEDICAL,A,21000,6.54,YES
277,26,42000,RENT,MEDICAL,F,21000,17.26,YES
278,23,63000,RENT,MEDICAL,B,21000,11.36,YES
279,26,19200,MORTGAGE,VENTURE,A,4000,7.51,YES
280,22,59000,RENT,PERSONAL,B,21000,10.71,YES
281,26,65219,RENT,DEBTCONSOLIDATION,D,21000,14.09,YES
282,22,19200,MORTGAGE,MEDICAL,D,5000,15.33,YES
283,25,62047,RENT,MEDICAL,E,21000,16.32,YES
284,26,81000,RENT,EDUCATION,E,21000,16.95,YES
285,25,100000,RENT,PERSONAL,D,21000,16.49,YES
286,26,19200,OTHER,PERSONAL,C,7500,11.97,YES
287,21,19500,MORTGAGE,EDUCATION,B,15000,9.64,YES
288,26,50000,RENT,VENTURE,A,20500,7.49,YES
289,23,54000,RENT,PERSONAL,A,20375,7.49,YES
290,26,26000,RENT,EDUCATION,B,20050,9.76,YES
291,24,33000,RENT,DEBTCONSOLIDATION,B,20000,10.99,YES
292,24,35364,RENT,MEDICAL,B,20000,12.53,YES
293,25,38000,RENT,MEDICAL,D,20000,14.59,YES
294,23,32000,RENT,DEBTCONSOLIDATION,D,20000,12.61,YES
295,25,38004,RENT,MEDICAL,C,20000,13.11,YES
296,25,38556,RENT,PERSONAL,C,20000,11.22,YES
297,23,32900,RENT,EDUCATION,D,20000,16.0,YES
298,25,34000,RENT,HOMEIMPROVEMENT,B,20000,8.88,YES
299,24,40000,RENT,PERSONAL,B,20000,12.53,YES
300,25,42000,RENT,EDUCATION,C,20000,13.47,YES
301,22,42224,RENT,VENTURE,A,20000,6.99,YES
302,22,37212,RENT,DEBTCONSOLIDATION,E,20000,16.69,YES
303,25,38000,RENT,MEDICAL,B,20000,11.11,YES
304,22,45000,RENT,EDUCATION,A,20000,7.9,YES
305,23,45000,RENT,PERSONAL,B,20000,10.25,YES
306,22,45000,RENT,DEBTCONSOLIDATION,C,20000,13.92,YES
307,24,39000,RENT,MEDICAL,D,20000,14.74,YES
308,24,46500,RENT,EDUCATION,B,20000,10.62,YES
309,22,48000,RENT,VENTURE,B,20000,10.65,YES
310,22,42000,RENT,PERSONAL,D,20000,12.99,YES
311,22,48500,RENT,VENTURE,B,20000,11.36,YES
312,23,49400,RENT,EDUCATION,A,20000,6.54,YES
313,25,50000,RENT,DEBTCONSOLIDATION,A,20000,7.49,YES
314,25,50000,RENT,EDUCATION,C,20000,13.43,YES
315,22,50000,RENT,DEBTCONSOLIDATION,C,20000,13.22,YES
316,22,44000,RENT,EDUCATION,E,20000,15.68,YES
317,25,50950,RENT,HOMEIMPROVEMENT,B,20000,11.48,YES
318,24,51000,RENT,VENTURE,B,20000,10.38,YES
319,22,51000,RENT,EDUCATION,B,20000,12.53,YES
320,22,51000,RENT,EDUCATION,C,20000,13.47,YES
321,24,51500,RENT,VENTURE,B,20000,12.21,YES
322,25,51996,RENT,VENTURE,B,20000,10.99,YES
323,25,52000,RENT,EDUCATION,B,20000,11.36,YES
324,22,46000,RENT,DEBTCONSOLIDATION,D,20000,16.0,YES
325,24,52000,RENT,EDUCATION,D,20000,15.65,YES
326,25,46000,RENT,DEBTCONSOLIDATION,C,20000,11.78,YES
327,22,47000,RENT,MEDICAL,D,20000,16.77,YES
328,22,54000,RENT,EDUCATION,B,20000,9.91,YES
329,23,48000,RENT,MEDICAL,D,20000,15.65,YES
330,23,48000,RENT,MEDICAL,D,20000,14.96,YES
331,23,54000,RENT,VENTURE,B,20000,11.83,YES
332,24,48912,RENT,MEDICAL,C,20000,11.66,YES
333,26,54996,RENT,EDUCATION,B,20000,12.18,YES
334,24,55000,RENT,HOMEIMPROVEMENT,A,20000,6.91,YES
335,25,55000,RENT,DEBTCONSOLIDATION,A,20000,6.91,YES
336,26,49000,RENT,HOMEIMPROVEMENT,F,20000,19.79,YES
337,25,55000,RENT,VENTURE,B,20000,9.88,YES
338,23,55000,RENT,DEBTCONSOLIDATION,B,20000,12.53,YES
339,23,57000,RENT,EDUCATION,D,20000,16.89,YES
340,22,51012,RENT,PERSONAL,D,20000,17.49,YES
341,22,58000,RENT,DEBTCONSOLIDATION,C,20000,13.11,YES
342,23,58800,RENT,DEBTCONSOLIDATION,A,20000,7.66,YES
343,26,59000,RENT,MEDICAL,A,20000,6.17,YES
344,26,53000,RENT,PERSONAL,E,20000,16.35,YES
345,23,60000,RENT,MEDICAL,A,20000,7.9,YES
346,24,54000,RENT,VENTURE,D,20000,16.49,YES
347,24,60000,RENT,PERSONAL,B,20000,10.99,YES
348,25,54000,RENT,PERSONAL,B,20000,8.88,YES
349,23,54000,RENT,DEBTCONSOLIDATION,D,20000,14.84,YES
350,23,54000,RENT,PERSONAL,B,20000,11.12,YES
351,22,60000,RENT,EDUCATION,A,20000,7.88,YES
352,25,54000,RENT,PERSONAL,D,20000,15.65,YES
353,24,54000,RENT,PERSONAL,E,20000,17.04,YES
354,23,60000,RENT,EDUCATION,B,20000,12.21,YES
355,25,54000,RENT,DEBTCONSOLIDATION,D,20000,14.11,YES
356,24,60000,RENT,PERSONAL,B,20000,11.14,YES
357,24,60000,RENT,PERSONAL,D,20000,13.87,YES
358,26,60000,RENT,HOMEIMPROVEMENT,B,20000,10.08,YES
359,23,54504,RENT,PERSONAL,E,20000,16.7,YES
360,24,55000,RENT,VENTURE,E,20000,18.64,YES
361,24,61000,RENT,HOMEIMPROVEMENT,B,20000,12.18,YES
362,25,62000,RENT,MEDICAL,A,20000,6.54,YES
363,24,56000,RENT,EDUCATION,D,20000,14.61,YES
364,21,56000,RENT,VENTURE,E,20000,17.39,YES
365,24,62400,RENT,HOMEIMPROVEMENT,B,20000,11.12,YES
366,25,62400,RENT,VENTURE,B,20000,11.48,YES
367,25,63000,RENT,MEDICAL,B,20000,12.42,YES
368,26,58000,RENT,DEBTCONSOLIDATION,B,20000,10.25,YES
369,23,65000,RENT,MEDICAL,B,20000,10.65,YES
370,23,65000,RENT,MEDICAL,B,20000,10.37,YES
371,23,65000,RENT,VENTURE,B,20000,11.49,YES
372,23,59000,RENT,EDUCATION,C,20000,12.29,YES
373,21,21000,MORTGAGE,DEBTCONSOLIDATION,D,3500,17.27,YES
374,26,65004,RENT,DEBTCONSOLIDATION,B,20000,11.99,YES
375,25,59004,RENT,PERSONAL,D,20000,14.84,YES
376,23,59004,RENT,DEBTCONSOLIDATION,B,20000,10.83,YES
377,23,65500,RENT,DEBTCONSOLIDATION,C,20000,13.22,YES
378,24,62400,RENT,DEBTCONSOLIDATION,D,20000,14.84,YES
379,23,55392,RENT,MEDICAL,D,20000,15.2,YES
380,23,66000,RENT,VENTURE,D,20000,14.11,YES
381,22,66000,RENT,DEBTCONSOLIDATION,D,20000,14.42,YES
382,22,21120,MORTGAGE,DEBTCONSOLIDATION,D,1625,16.89,YES
383,22,69000,RENT,DEBTCONSOLIDATION,B,20000,10.99,YES
384,24,69000,RENT,HOMEIMPROVEMENT,E,20000,14.82,YES
385,23,59497,RENT,MEDICAL,E,20000,16.0,YES
386,26,70000,RENT,DEBTCONSOLIDATION,C,20000,13.16,YES
387,24,70000,RENT,VENTURE,E,20000,14.88,YES
388,26,71004,RENT,HOMEIMPROVEMENT,D,20000,13.36,YES
389,23,61200,RENT,MEDICAL,B,20000,11.14,YES
390,22,62900,RENT,MEDICAL,D,20000,14.91,YES
391,26,62900,RENT,MEDICAL,C,20000,13.85,YES
392,25,74004,RENT,PERSONAL,E,20000,15.95,YES
393,24,21600,MORTGAGE,DEBTCONSOLIDATION,D,2000,14.84,YES
394,23,76042,RENT,HOMEIMPROVEMENT,D,20000,15.05,YES
395,22,76654,RENT,EDUCATION,C,20000,13.79,YES
396,24,78996,RENT,HOMEIMPROVEMENT,D,20000,14.11,YES
397,26,73000,RENT,PERSONAL,B,20000,12.53,YES
398,23,78000,RENT,HOMEIMPROVEMENT,F,20000,18.25,YES
399,25,22000,MORTGAGE,EDUCATION,A,5875,6.62,YES
400,23,22000,MORTGAGE,DEBTCONSOLIDATION,A,1550,7.49,YES
401,22,85200,RENT,VENTURE,D,20000,15.65,YES
402,25,87996,RENT,HOMEIMPROVEMENT,E,20000,16.35,YES
403,22,74800,RENT,MEDICAL,D,20000,14.96,YES
404,23,74800,RENT,MEDICAL,E,20000,17.04,YES
405,23,93000,RENT,PERSONAL,C,20000,13.22,YES
406,23,95000,RENT,DEBTCONSOLIDATION,D,20000,14.59,YES
407,22,22800,MORTGAGE,HOMEIMPROVEMENT,B,7125,11.71,YES
408,23,22800,MORTGAGE,PERSONAL,A,3000,8.9,YES
409,25,85000,RENT,MEDICAL,E,20000,17.39,YES
410,24,138000,RENT,VENTURE,D,20000,15.99,YES
411,23,23000,MORTGAGE,HOMEIMPROVEMENT,D,3600,17.27,YES
412,26,148000,RENT,DEBTCONSOLIDATION,E,20000,17.99,YES
413,25,58000,RENT,MEDICAL,B,19900,11.83,YES
414,22,10000,RENT,HOMEIMPROVEMENT,D,1000,14.74,YES
415,22,12000,RENT,PERSONAL,C,1000,13.57,YES
416,22,12240,RENT,PERSONAL,D,1000,14.96,YES
417,21,14400,RENT,VENTURE,D,1000,16.29,YES
418,22,14400,RENT,VENTURE,E,1000,16.69,YES
419,22,15000,RENT,MEDICAL,D,1000,14.3,YES
420,21,16000,RENT,VENTURE,D,1000,15.65,YES
421,23,39600,RENT,EDUCATION,B,19000,10.62,YES
422,22,39900,RENT,VENTURE,B,19000,12.18,YES
423,25,47000,RENT,MEDICAL,B,19000,11.99,YES
424,25,50000,RENT,HOMEIMPROVEMENT,B,19000,10.99,YES
425,26,47500,RENT,PERSONAL,E,19000,16.7,YES
426,23,54586,RENT,PERSONAL,B,19000,11.14,YES
427,26,62004,RENT,MEDICAL,A,19000,7.49,YES
428,25,23920,MORTGAGE,MEDICAL,D,6000,14.59,YES
